run-id,episode,total_reward,avg_reward,avg_waiting_time,epsilon,lr,gamma
policy_v2_explored,78,-68.9599,-2.8733,2.8733,0.0961,0.05,0.99
policy_v2_explored,79,-164.9599,-6.8733,6.8733,0.09605,0.05,0.99
policy_v2_explored,80,-264.6087,-11.0254,11.0254,0.096,0.05,0.99
policy_v2_explored,81,-75.9599,-3.165,3.165,0.09595,0.05,0.99
policy_v2_explored,82,-68.9599,-2.8733,2.8733,0.0959,0.05,0.99
policy_v2_explored,83,-55.1363,-2.2973,2.2973,0.09585,0.05,0.99
policy_v2_explored,84,-76.9599,-3.2067,3.2067,0.0958,0.05,0.99
policy_v2_explored,85,-442.9599,-18.4567,18.4567,0.09575,0.05,0.99
policy_v2_explored,86,-37.101,-1.5459,1.5459,0.0957,0.05,0.99
policy_v2_explored,87,-135.9599,-5.665,5.665,0.09565,0.05,0.99
policy_v2_explored,88,-87.9456,-3.6644,3.6644,0.0956,0.05,0.99
policy_v2_explored,89,-164.9599,-6.8733,6.8733,0.09555,0.05,0.99
policy_v2_explored,90,-46.9599,-1.9567,1.9567,0.0955,0.05,0.99
policy_v2_explored,91,-48.3079,-2.0128,2.0128,0.09545,0.05,0.99
policy_v2_explored,92,-58.1363,-2.4223,2.4223,0.0954,0.05,0.99
policy_v2_explored,93,-76.9599,-3.2067,3.2067,0.09535,0.05,0.99
policy_v2_explored,94,-47.9599,-1.9983,1.9983,0.0953,0.05,0.99
policy_v2_explored,95,-76.9599,-3.2067,3.2067,0.09525,0.05,0.99
policy_v2_explored,96,-85.9599,-3.5817,3.5817,0.0952,0.05,0.99
policy_v2_explored,97,-163.9599,-6.8317,6.8317,0.09515,0.05,0.99
policy_v2_explored,98,-55.1363,-2.2973,2.2973,0.0951,0.05,0.99
policy_v2_explored,99,-76.9599,-3.2067,3.2067,0.09505,0.05,0.99
policy_v2_explored,100,-37.101,-1.5459,1.5459,0.095,0.05,0.99
policy_v2_explored,101,-46.9599,-1.9567,1.9567,0.09495,0.05,0.99
policy_v2_explored,102,-153.9952,-6.4165,6.4165,0.0949,0.05,0.99
policy_v2_explored,103,-47.9647,-1.9985,1.9985,0.09485,0.05,0.99
policy_v2_explored,104,-263.6087,-10.9837,10.9837,0.0948,0.05,0.99
policy_v2_explored,105,-156.6462,-6.5269,6.5269,0.09475,0.05,0.99
policy_v2_explored,106,-134.9599,-5.6233,5.6233,0.0947,0.05,0.99
policy_v2_explored,107,-37.101,-1.5459,1.5459,0.09465,0.05,0.99
policy_v2_explored,108,-75.9599,-3.165,3.165,0.0946,0.05,0.99
policy_v2_explored,109,-329.9599,-13.7483,13.7483,0.09455,0.05,0.99
policy_v2_explored,110,-47.101,-1.9625,1.9625,0.0945,0.05,0.99
policy_v2_explored,111,-37.101,-1.5459,1.5459,0.09445,0.05,0.99
policy_v2_explored,112,-67.9599,-2.8317,2.8317,0.0944,0.05,0.99
policy_v2_explored,113,-179.9952,-7.4998,7.4998,0.09435,0.05,0.99
policy_v2_explored,114,-38.9599,-1.6233,1.6233,0.0943,0.05,0.99
policy_v2_explored,115,-156.7883,-6.5328,6.5328,0.09425,0.05,0.99
policy_v2_explored,116,-66.1363,-2.7557,2.7557,0.0942,0.05,0.99
policy_v2_explored,117,-65.1363,-2.714,2.714,0.09415,0.05,0.99
policy_v2_explored,118,-55.5051,-2.3127,2.3127,0.0941,0.05,0.99
policy_v2_explored,119,-45.9599,-1.915,1.915,0.09405,0.05,0.99
policy_v2_explored,120,-351.9599,-14.665,14.665,0.094,0.05,0.99
policy_v2_explored,121,-148.8178,-6.2007,6.2007,0.09395,0.05,0.99
policy_v2_explored,122,-341.9599,-14.2483,14.2483,0.0939,0.05,0.99
policy_v2_explored,123,-51.9599,-2.165,2.165,0.09385,0.05,0.99
policy_v2_explored,124,-59.5051,-2.4794,2.4794,0.0938,0.05,0.99
policy_v2_explored,125,-87.3079,-3.6378,3.6378,0.09375,0.05,0.99
