run-id,episode,total_reward,avg_reward,avg_waiting_time,epsilon,lr,gamma
policy_v1,84,-192.9456,-8.0394,8.0394,0.2748,0.1,0.95
policy_v1,85,-69.1363,-2.8807,2.8807,0.2745,0.1,0.95
policy_v1,86,-254.6087,-10.6087,10.6087,0.2742,0.1,0.95
policy_v1,87,-75.9599,-3.165,3.165,0.2739,0.1,0.95
policy_v1,88,-56.9599,-2.3733,2.3733,0.2736,0.1,0.95
policy_v1,89,-58.9599,-2.4567,2.4567,0.2733,0.1,0.95
policy_v1,90,-164.9599,-6.8733,6.8733,0.273,0.1,0.95
policy_v1,91,-536.6087,-22.3587,22.3587,0.2727,0.1,0.95
policy_v1,92,-260.5944,-10.8581,10.8581,0.2724,0.1,0.95
policy_v1,93,-564.4676,-23.5195,23.5195,0.2721,0.1,0.95
policy_v1,94,-161.8188,-6.7425,6.7425,0.2718,0.1,0.95
policy_v1,95,-342.1363,-14.2557,14.2557,0.2715,0.1,0.95
policy_v1,96,-143.9599,-5.9983,5.9983,0.2712,0.1,0.95
policy_v1,97,-145.3079,-6.0545,6.0545,0.2709,0.1,0.95
policy_v1,98,-47.1315,-1.9638,1.9638,0.2706,0.1,0.95
policy_v1,99,-148.5051,-6.1877,6.1877,0.2703,0.1,0.95
policy_v1,100,-460.9599,-19.2067,19.2067,0.27,0.1,0.95
policy_v1,101,-59.7883,-2.4912,2.4912,0.2697,0.1,0.95
policy_v1,102,-54.9599,-2.29,2.29,0.2694,0.1,0.95
policy_v1,103,-175.7883,-7.3245,7.3245,0.2691,0.1,0.95
policy_v1,104,-151.122,-6.2968,6.2968,0.2688,0.1,0.95
policy_v1,105,-148.6462,-6.1936,6.1936,0.2685,0.1,0.95
policy_v1,106,-37.1315,-1.5471,1.5471,0.2682,0.1,0.95
policy_v1,107,-342.7883,-14.2828,14.2828,0.2679,0.1,0.95
policy_v1,108,-150.9599,-6.29,6.29,0.2676,0.1,0.95
policy_v1,109,-261.9456,-10.9144,10.9144,0.2673,0.1,0.95
policy_v1,110,-337.6462,-14.0686,14.0686,0.267,0.1,0.95
policy_v1,111,-430.9599,-17.9567,17.9567,0.2667,0.1,0.95
policy_v1,112,-818.101,-34.0875,34.0875,0.2664,0.1,0.95
policy_v1,113,-465.9456,-19.4144,19.4144,0.2661,0.1,0.95
policy_v1,114,-472.1172,-19.6716,19.6716,0.2658,0.1,0.95
policy_v1,115,-226.2726,-9.428,9.428,0.2655,0.1,0.95
policy_v1,116,-364.9599,-15.2067,15.2067,0.2652,0.1,0.95
policy_v1,117,-353.9599,-14.7483,14.7483,0.2649,0.1,0.95
policy_v1,118,-175.9599,-7.3317,7.3317,0.2646,0.1,0.95
policy_v1,119,-135.9599,-5.665,5.665,0.2643,0.1,0.95
policy_v1,120,-85.1315,-3.5471,3.5471,0.264,0.1,0.95
policy_v1,121,-440.9599,-18.3733,18.3733,0.2637,0.1,0.95
policy_v1,122,-183.9599,-7.665,7.665,0.2634,0.1,0.95
policy_v1,123,-73.9456,-3.0811,3.0811,0.2631,0.1,0.95
policy_v1,124,-449.9599,-18.7483,18.7483,0.2628,0.1,0.95
policy_v1,125,-165.9599,-6.915,6.915,0.2625,0.1,0.95
policy_v1,126,-67.9599,-2.8317,2.8317,0.2622,0.1,0.95
policy_v1,127,-69.101,-2.8792,2.8792,0.2619,0.1,0.95
policy_v1,128,-76.9599,-3.2067,3.2067,0.2616,0.1,0.95
policy_v1,129,-52.8188,-2.2008,2.2008,0.2613,0.1,0.95
policy_v1,130,-242.6087,-10.1087,10.1087,0.261,0.1,0.95
policy_v1,131,-48.9599,-2.04,2.04,0.2607,0.1,0.95
policy_v1,132,-251.7803,-10.4908,10.4908,0.2604,0.1,0.95
policy_v1,133,-616.6087,-25.692,25.692,0.2601,0.1,0.95
policy_v1,134,-340.6391,-14.1933,14.1933,0.2598,0.1,0.95
policy_v1,135,-64.6462,-2.6936,2.6936,0.2595,0.1,0.95
policy_v1,136,-155.9599,-6.4983,6.4983,0.2592,0.1,0.95
policy_v1,137,-281.1172,-11.7132,11.7132,0.2589,0.1,0.95
policy_v1,138,-57.1315,-2.3805,2.3805,0.2586,0.1,0.95
policy_v1,139,-371.9599,-15.4983,15.4983,0.2583,0.1,0.95
policy_v1,140,-67.9599,-2.8317,2.8317,0.258,0.1,0.95
policy_v1,141,-269.5051,-11.2294,11.2294,0.2577,0.1,0.95
policy_v1,142,-271.6462,-11.3186,11.3186,0.2574,0.1,0.95
policy_v1,143,-158.3079,-6.5962,6.5962,0.2571,0.1,0.95
policy_v1,144,-67.9599,-2.8317,2.8317,0.2568,0.1,0.95
policy_v1,145,-461.1315,-19.2138,19.2138,0.2565,0.1,0.95
policy_v1,146,-350.1315,-14.5888,14.5888,0.2562,0.1,0.95
policy_v1,147,-154.8188,-6.4508,6.4508,0.2559,0.1,0.95
policy_v1,148,-356.101,-14.8375,14.8375,0.2556,0.1,0.95
policy_v1,149,-145.9599,-6.0817,6.0817,0.2553,0.1,0.95
policy_v1,150,-283.9456,-11.8311,11.8311,0.255,0.1,0.95
policy_v1,151,-359.8188,-14.9925,14.9925,0.2547,0.1,0.95
policy_v1,152,-349.9456,-14.5811,14.5811,0.2544,0.1,0.95
policy_v1,153,-65.6462,-2.7353,2.7353,0.2541,0.1,0.95
policy_v1,154,-56.9599,-2.3733,2.3733,0.2538,0.1,0.95
policy_v1,155,-348.4676,-14.5195,14.5195,0.2535,0.1,0.95
policy_v1,156,-359.9599,-14.9983,14.9983,0.2532,0.1,0.95
policy_v1,157,-49.6462,-2.0686,2.0686,0.2529,0.1,0.95
policy_v1,158,-55.9599,-2.3317,2.3317,0.2526,0.1,0.95
policy_v1,159,-64.9599,-2.7067,2.7067,0.2523,0.1,0.95
policy_v1,160,-457.6767,-19.0699,19.0699,0.252,0.1,0.95
policy_v1,161,-253.9599,-10.5817,10.5817,0.2517,0.1,0.95
policy_v1,162,-37.1315,-1.5471,1.5471,0.2514,0.1,0.95
policy_v1,163,-657.9599,-27.415,27.415,0.2511,0.1,0.95
